INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 1173, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 2285, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 3445, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 4557, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 5677, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 6797, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 7917, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERMELHO', 9037, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 10237, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 11293, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 12405, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 13565, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 14701, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 15837, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 17005, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 18101, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 19253, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 20357, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 21445, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERMELHO', 22549, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 23701, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 24805, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 25973, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERMELHO', 27101, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 28189, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 29325, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 30517, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 31581, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 32701, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERMELHO', 33837, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 34973, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 36085, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 37189, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 38325, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 39445, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERMELHO', 40573, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 41741, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 42085, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 42461, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERMELHO', 42821, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 43917, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERMELHO', 45021, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 46237, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERMELHO', 47277, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 48421, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERMELHO', 49565, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 50669, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 51805, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 53013, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 54085, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 55205, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 56429, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 57501, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 58597, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERMELHO', 59757, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AMARELO', 60877, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'AZUL', 61981, 1);
INSERT INTO NOTA(FK_MAPA, COR, TEMPO, STATUS) VALUES (3, 'VERDE', 63109, 1);
